No.,Time,Source,Destination,Protocol,Length,Info
1,0,142.250.192.106,10.12.35.246,TCP,66,443  >  52411 [ACK] Seq=1 Ack=1 Win=294 Len=0 SLE=0 SRE=1
2,0.003683,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.54.31? Tell 10.12.32.1
3,0.003715,HewlettP_81:05:00,Broadcast,ARP,60,Who has 10.12.51.245? Tell 10.12.63.254
4,0.024116,10.12.35.246,172.217.166.46,TCP,55,52402  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU]
5,0.105438,HewlettP_81:05:00,Broadcast,ARP,60,Who has 10.12.37.133? Tell 10.12.63.254
6,0.116522,172.217.166.46,10.12.35.246,TCP,66,443  >  52402 [ACK] Seq=1 Ack=2 Win=305 Len=0 SLE=1 SRE=2
7,0.207649,HewlettP_81:05:00,Broadcast,ARP,60,Who has 10.12.53.202? Tell 10.12.63.254
8,0.207687,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.38.189? Tell 10.12.32.1
9,0.207696,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.53.171? Tell 10.12.32.1
10,0.207704,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.51.25? Tell 10.12.32.1
11,0.20996,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.51.244? Tell 10.12.32.1
12,0.209977,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.38.16? Tell 10.12.32.1
13,0.209986,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.54.89? Tell 10.12.32.1
14,0.209993,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.34.175? Tell 10.12.32.1
15,0.210001,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.53.61? Tell 10.12.32.1
16,0.212498,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.45.34? Tell 10.12.32.1
17,0.212518,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.37.102? Tell 10.12.32.1
18,0.212526,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.53.120? Tell 10.12.32.1
19,0.212533,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.48.196? Tell 10.12.32.1
20,0.21254,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.36.181? Tell 10.12.32.1
21,0.212546,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.34.106? Tell 10.12.32.1
22,0.212552,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.37.225? Tell 10.12.32.1
23,0.214872,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.36.121? Tell 10.12.32.1
24,0.412926,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.50.233? Tell 10.12.32.1
25,0.41296,HewlettP_81:05:00,Broadcast,ARP,60,Who has 10.12.34.53? Tell 10.12.63.254
26,0.514624,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.49.188? Tell 10.12.32.1
27,0.51465,HewlettP_81:05:00,Broadcast,ARP,60,Who has 10.12.37.13? Tell 10.12.63.254
28,0.608339,10.12.35.246,142.250.192.106,TCP,55,52412  >  443 [ACK] Seq=1 Ack=1 Win=510 Len=1 [TCP segment of a reassembled PDU]
